edge_drive,v_tor,v_pol,tct_gain,edge_shear,residual_instability,stability_margin,stability_window_shift,event_amplitude,event_frequency,heat_pulse_severity,wetted_fraction,peak_heat_flux,divertor_load_proxy,freq_severity_product,damage_index
0.7,0.6,0.3,0.0,9.937499999999998,0.2733040006247721,-0.2733040006247721,0.15801877659995273,0.6056124011558284,0.9555628488332726,0.5980771280066186,0.3189584274359942,1.875094296188915,1.4281382873251112,0.5715002842600263,0.9860891674780287
0.85,0.6,0.3,0.2,9.937499999999998,0.2679576852637877,-0.2679576852637877,0.2280187765999527,0.5957217177380073,1.0990628488332723,0.6122456070698811,0.3396507752752417,1.8025738541999135,1.3859589677044022,0.6728964010918798,0.9907234792024855
1.0,0.4,0.3,0.6,7.437499999999999,0.2586848899874661,-0.2586848899874661,0.3464899127791883,0.5785670464768122,1.271137168549023,0.6224909351001106,0.36404129866860857,1.7099459247528177,1.32933667837437,0.7912713646905881,0.9914534602463629
1.0,0.6,0.1,0.6,8.3125,0.2653676001387171,-0.2653676001387171,0.36390275766287616,0.5909300602566266,1.270446829896196,0.635678305472923,0.37019621180418394,1.717138871775291,1.3386276735694622,0.8075954880218608,0.9997851482269935
0.7,0.4,0.0,0.2,5.0,0.25750022533380523,-0.25750022533380523,0.19098253125006764,0.5763754168675397,0.9926297870199023,0.5751859741854739,0.29635256515801844,1.9408840746115303,1.4628897394624105,0.570946731052562,0.9998591139107048
0.7,0.0,0.3,0.4,2.4375,0.24515549954071025,-0.24515549954071025,0.18126077838728138,0.553537674150314,0.9942607783872813,0.5526481490430915,0.27382722453747443,2.0182366818221875,1.505280695349504,0.5494763788418744,1.0124427058530916
0.7,0.2,0.0,0.4,2.5,0.2501378410990751,-0.2501378410990751,0.20980702325584247,0.562755006033289,0.9991899005250007,0.5626273575235056,0.27442723667148294,2.050187745019738,1.5295416093960568,0.5621715733965555,1.027506427758935
0.85,0.2,0.3,0.4,4.9375,0.265837500170105,-0.265837500170105,0.23869470112460045,0.5917993753146943,1.1315775783937585,0.6136022833503713,0.3143795512796028,1.9517881517829567,1.483423097831552,0.6943385858904939,1.040589620659615
0.7,0.6,0.2,0.0,9.125,0.29538502694214097,-0.29538502694214097,0.15623805223117915,0.6464622998429608,0.9617821244644991,0.639544503443099,0.3116784235877307,2.0519370448595753,1.5575996553638085,0.6151024712110968,1.0599739875461083
0.85,0.6,0.2,0.2,9.125,0.29003871158115657,-0.29003871158115657,0.22623805223117915,0.6365716164251397,1.1052821244644988,0.6553371078274306,0.3323707714269782,1.9717049878178234,1.510976229821186,0.7243323907799228,1.0629444648831676
0.85,0.2,0.1,0.6,3.3125,0.26803370906141477,-0.26803370906141477,0.29105470053907007,0.5958623617636174,1.1459375778082281,0.6202108005028217,0.3075913353350154,2.0163467863206046,1.5276991912843807,0.7107228624587058,1.0650840491277564
1.0,0.4,0.2,0.6,6.625,0.28500288806853846,-0.28500288806853846,0.3424880049458703,0.6272553429267962,1.275135260715705,0.6755777603740114,0.3528003154868801,1.91490123653003,1.4811380198754234,0.861453023608247,1.07872219742625
0.7,0.2,0.2,0.2,4.125,0.27449318830838554,-0.27449318830838554,0.16068244545145827,0.6078123983705133,0.9880653227206165,0.6057812658206444,0.28078849275045803,2.157429102192637,1.6143523594624396,0.5985514619111786,1.0789250136403992
1.0,0.6,0.3,0.4,9.937499999999998,0.2956948143300928,-0.2956948143300928,0.2980187765999527,0.6470354065106717,1.2425628488332725,0.690980496930454,0.35605881706115516,1.9406358270627353,1.503256461516437,0.8585866947541353,1.089321596365507
1.0,0.6,0.0,0.6,7.5,0.2959358921173545,-0.2959358921173545,0.3608612565552808,0.6474814004171058,1.2754053287886005,0.6974109522476911,0.3597653191882065,1.9385163467711843,1.5041294586879617,0.8894816448522375,1.096220468066325
0.85,0.4,0.0,0.4,5.0,0.28523735440011033,-0.28523735440011033,0.26098253125006765,0.6276891056402041,1.136129787019902,0.651614317234548,0.31276060694393193,2.083428356280693,1.5822934426145423,0.7403184354588059,1.0988793049910288
0.85,0.4,0.3,0.2,7.437499999999999,0.3102781683140571,-0.3102781683140571,0.20648991277918827,0.6740146113810056,1.1116371685490227,0.6950832345580743,0.31735996912531506,2.1902045064908884,1.6669120613144035,0.7726803587700339,1.148381946299958
0.7,0.4,0.3,0.0,7.437499999999999,0.3156244836750414,-0.3156244836750414,0.13648991277918826,0.6839052947988267,0.968137168549023,0.677803770240577,0.2966676212860676,2.2847244579717425,1.7223022172658347,0.6562070229525647,1.1491030933213633
0.7,0.6,0.1,0.0,8.3125,0.32230719382629236,-0.32230719382629236,0.15390275766287614,0.6962683085786409,0.967446829896196,0.6899219011862673,0.3028225344216429,2.278304362335322,1.722370500933153,0.6674627561786108,1.1529231727334768
0.85,0.6,0.1,0.2,8.3125,0.31696087846530796,-0.31696087846530796,0.22390275766287615,0.6863776251608197,1.1109468298961958,0.7077000232153359,0.3235148822608904,2.1875346762088954,1.6695925476611495,0.7862170973085415,1.1535265684030285
0.7,0.0,0.1,0.6,0.8125,0.27816678607710027,-0.27816678607710027,0.224521612772652,0.6146085542426355,0.9995216127726521,0.6145262283956283,0.2550993083781366,2.4089686181536374,1.7809137817383343,0.6142322468970935,1.1601543366318054
