score,net_electric,TBR,fail_rate,wall_load,wall_temp,bootstrap,blanket_model,blanket_attenuation,blanket_front_heating_frac,capex_billion,annual_revenue_musd,annual_cost_musd
657762.0213295828,1285.7349536858164,1.4000000000000001,0.0,5.483941788183636,115.30783303225103,0.2844228752927053,openmc_dataset,0.2020503227290214,0.3011095775633933,11.591348113090586,658887.7343658336,1043.2213301781526
656008.3613779353,1868.9071849482063,1.4000000000000001,0.0,7.000825464621911,79.64495993091091,0.24068747320404185,openmc_dataset,0.1487543753557728,0.200797212756633,13.278003177085198,957740.1759985579,1195.0202859376677
651293.8072983708,1273.174544035003,1.4000000000000001,0.0,3.5791874469486626,121.42562291645497,0.33665868020732065,openmc_dataset,0.1111213652911407,0.1579941592742685,11.146198195122956,652451.0268361777,1003.1578375610661
648526.3700190042,1267.3685629903066,1.4000000000000001,0.0,4.816313029222701,35.99819175577849,0.34539956115589837,openmc_dataset,0.076880930822367,0.4064601834974106,10.585360596768304,649475.6937900126,952.6824537091472
646936.030475788,1272.203757176446,1.4000000000000001,0.0,5.253189633527261,68.81964920247378,0.85,openmc_dataset,0.0896542534974534,0.3180598481999513,10.55748138555664,651953.5374026415,950.1733247000977
645862.3855222989,1270.1692342683662,1.4000000000000001,0.0,6.0119519732336215,76.65237870419787,0.85,openmc_dataset,0.0581505013825564,0.1124196129031784,10.4207507224084,650910.925793167,937.867565016756
644207.4212825055,2531.9916467993494,1.4000000000000001,0.0,7.4738875759348655,48.40664948658849,0.38120845641239287,openmc_dataset,0.0625434269839358,0.4819087463837508,15.92437741978523,1297544.4393187945,1433.1939677806708
643207.6947971876,1259.638928179633,1.4000000000000001,0.0,5.231433721519473,141.68943624209982,0.7146160122885491,openmc_dataset,0.2297618230760175,0.4439236590537256,10.469528844834391,645514.5651349347,942.2575960350952
638334.5199656013,1247.820217240698,1.4000000000000001,0.0,5.875746370551775,44.42819968902607,0.6582257831779263,openmc_dataset,0.0588916468354164,0.1778423558465827,10.194534683589701,639457.9485271682,917.5081215230732
637937.9181606362,2277.9540627785645,1.4000000000000001,0.0,7.326683162671478,73.4726118617127,0.3838637017319671,openmc_dataset,0.1286499479745286,0.3298779659309112,14.740744769626588,1167360.3390115032,1326.667029266393
632866.3082707945,1929.059256686486,1.4000000000000001,0.0,7.086863603742409,129.56169482213235,0.4821814645838752,openmc_dataset,0.1142217361304362,0.1925862189580392,13.531679064913744,988565.7066815567,1217.851115842237
627579.9885003346,1226.41933005818,1.4000000000000001,0.0,5.294626516418347,105.53738445390098,0.5439684984137187,openmc_dataset,0.1529146527737298,0.3777032448746892,10.131274058980111,628490.849881615,911.8146653082099
625738.7158496612,1230.7239829709567,1.4000000000000001,0.0,4.612302936519994,148.2892845282722,0.85,openmc_dataset,0.6606909270370473,0.1090683656491526,10.269007882433922,630696.8123132965,924.2107094190529
624829.7744145831,1247.43020878092,1.4000000000000001,0.0,6.177975010924568,113.20407348948159,0.85,openmc_dataset,0.6683393349217865,0.2391436457750224,10.195022348407901,639258.0847918703,917.5520113567111
624493.7753209919,1227.9293476851556,1.4000000000000001,0.0,5.000159356634757,102.18953192335205,0.8405558726575285,openmc_dataset,0.1811537015108027,0.2371992497212182,10.261554415304657,629264.673514735,923.5398973774193
623868.3215336227,1219.2322317994413,1.4000000000000001,0.0,4.559648796171464,113.694071847095,0.5169436093830603,openmc_dataset,0.1286499479745286,0.3298779659309112,10.192138489207432,624807.7495079417,917.2924640286687
623070.5445076159,1217.7357731122358,1.4000000000000001,0.0,5.83462031381191,133.16264223393276,0.28967514667207217,openmc_dataset,0.2725761607955319,0.1774708558522572,10.783580732527366,624040.8742890964,970.522265927463
622767.8407415417,2092.6575574660556,1.4000000000000001,0.0,7.217951642216736,227.1869173088258,0.8049898313966086,openmc_dataset,0.1830767746185719,0.4392656006219743,14.312967530979511,1072403.291899055,1288.167077788156
622491.95601779,1216.619321924509,1.4000000000000001,0.0,5.156850527340144,180.81763900629983,0.3958264358719402,openmc_dataset,0.3144414629738908,0.1892413383077825,10.803960979006302,623468.7377134339,972.3564881105672
621417.3933218766,1214.909194645272,1.4000000000000001,0.0,4.73149515848742,126.81581798830952,0.4268335267244699,openmc_dataset,0.1411179247048565,0.4711935139023634,11.149634491347623,622592.3658879161,1003.467104221286
616749.3172580836,1205.4797094101807,1.4000000000000001,0.0,5.7778221575252005,72.88953790028052,0.4266714810837853,openmc_dataset,0.1574843018854997,0.1083836889075305,10.864812115911285,617760.1318843414,977.8330904320158
616168.9650714304,1204.4129563959675,1.4000000000000001,0.0,4.90502560697421,168.40078953582355,0.6334270056895368,openmc_dataset,0.6683393349217865,0.2391436457750224,11.079405558983503,617213.4636346776,997.1465003085152
615195.9858933836,1210.0353816808408,1.4000000000000001,0.0,5.961834094690121,89.9296911539705,0.85,openmc_dataset,0.2214277981354602,0.2427467163936301,9.884148930585495,620094.7316961637,889.5734037526945
614062.7230540434,1200.0641749579806,1.4000000000000001,0.0,4.36634557910129,137.98228064015956,0.5222073329456041,openmc_dataset,0.2216440567354621,0.1744962783826188,10.368284504043062,614984.8870989666,933.1456053638756
609014.6096722955,1190.378584365109,1.4000000000000001,0.0,5.57361001690592,174.27724111870418,0.4079576343424706,openmc_dataset,0.2358922586251081,0.4150390923976803,11.018494919592069,610021.4093437438,991.6645427632862
608843.1495592068,1192.1402998612207,1.4000000000000001,0.0,5.004049113619679,171.11097882252696,0.23485770847332046,openmc_dataset,0.0982363434691065,0.6107389593344842,10.878637796345503,610924.2180668811,979.0774016710953
607513.6904238253,1187.2329574994546,1.4000000000000001,0.0,4.795044373474383,31.042598770698966,0.5459970118156382,openmc_dataset,0.1497821447359825,0.1197433525738467,10.002894333690456,608409.4014001705,900.260490032141
606362.5876856702,1192.9189976929267,1.4000000000000001,0.0,5.582978912962716,130.69039821482946,0.85,openmc_dataset,0.2020503227290214,0.3011095775633933,9.881224627113113,611323.2695577171,889.3102164401802
606227.7395943537,1192.6021127020692,1.4000000000000001,0.0,5.249825987420458,165.18829099646615,0.85,openmc_dataset,0.2991145733904731,0.3872639234616473,10.16769500188439,611160.8786753024,915.092550169595
605772.0769751398,1183.9912035716136,1.4000000000000001,0.0,4.943817180105398,113.05728090674741,0.2790528063462946,openmc_dataset,0.1830767746185719,0.4392656006219743,9.894945071616345,606748.132182309,890.5450564454711
601124.3678318841,1175.0394394809957,1.4000000000000001,0.0,5.518696200169322,183.155322929541,0.479323678293543,openmc_dataset,0.2095937169426268,0.4595982099172934,10.44142055850289,602160.7111564311,939.72785026526
600514.6448997193,1173.5213557860493,1.4000000000000001,0.0,4.824526592099547,101.16876756813656,0.3022999840193674,openmc_dataset,0.6606909270370473,0.1090683656491526,9.63918637864063,601382.753986119,867.5267740776567
597231.5947874765,1420.7069001361588,1.4000000000000001,0.0,6.657671929687369,214.12713055087121,0.4802850828677919,openmc_dataset,0.1551014048252319,0.2921838368007636,11.524138038272655,728055.4580437759,1037.172423444539
596519.4281989947,1166.2339113179396,1.4000000000000001,0.0,4.990796988544026,163.64691017419415,0.3666434393126795,openmc_dataset,0.1551014048252319,0.2921838368007636,10.756197304115613,597648.2301939914,968.0577573704052
596309.8433779516,1165.3757580061326,1.4000000000000001,0.0,4.26181012351987,65.01273994595223,0.5677224686672652,openmc_dataset,0.3414922565378974,0.2153340938260472,10.036149421083127,597208.4609478229,903.2534478974815
595465.5351718792,1216.576920860056,1.4000000000000001,0.0,6.297571403751458,153.8036128392972,0.6740842136267953,openmc_dataset,0.2297618230760175,0.4439236590537256,10.48635923613138,623447.0088639442,943.7723312518242
595113.9987397171,1163.2745071111883,1.4000000000000001,0.0,4.811729588314214,125.05939425450957,0.6114533611362379,openmc_dataset,0.1371381764383691,0.1336425833793121,10.593807524471565,596131.6539141996,953.4426772024409
594877.6810678358,1443.2968290151198,1.4000000000000001,0.0,6.692135258503369,152.41457988760678,0.33513725916896625,openmc_dataset,0.0539288745774948,0.1794368695760611,11.59226188955236,739631.8929970883,1043.3035700597125
593861.2440170253,1160.5650313204612,1.4000000000000001,0.0,4.944198222737885,69.43585313648543,0.44297604890424286,openmc_dataset,0.1487543753557728,0.200797212756633,9.788074261325853,594743.1559504835,880.9266835193268
593500.8493284157,1160.3763388539257,1.4000000000000001,0.0,2.961408561825881,96.2951475436206,0.5994366102316228,openmc_dataset,0.1106453663063821,0.0684737099660624,10.239243140681115,594646.4586090827,921.5318826613004
592462.0502143259,1164.869519737384,1.4000000000000001,0.0,4.122133451972017,50.622779158629825,0.8152364167708401,openmc_dataset,0.102116515625953,0.2245605244650363,9.997894347074391,596949.0340846197,899.8104912366953
589943.396191928,1152.9592905048003,1.4000000000000001,0.0,5.982609956814895,165.73376414733247,0.4866980871709959,openmc_dataset,0.1487543753557728,0.200797212756633,10.070399434633456,590845.51801209,906.3359491170111
589889.8097136995,1153.083811418542,1.4000000000000001,0.0,6.0144891132327905,175.30981026205063,0.48325401219082603,openmc_dataset,0.2095937169426268,0.4595982099172934,10.366770537696741,590909.329999546,933.0093483927067
