idx,reconn_trigger,conf_trigger,rad_trigger,margin_trigger,tct_pass_rate,tct_fail_pnet,tct_burst_rate,tct_pnet_p05,tct_pnet_p50,tct_pnet_p95,tct_tail_burst_frac,corr_precursor_pburst,corr_pburst_burst
136,0.6,0.6,0.7,0.08,0.2458,0.6156,0.3822,-28.678743587216797,-4.384649508404126,22.425526613279384,0.39,0.9087249318614944,0.12316812699558666
137,0.6,0.6,0.7,0.04,0.2648,0.611,0.3566,-28.091980965958424,-4.487578632189829,22.684837694529154,0.378,0.9070248068086343,0.11799225168361845
138,0.6,0.6,0.7,0.02,0.2552,0.6142,0.3672,-27.89086079687451,-4.309826174867815,21.453812755759007,0.382,0.9052651039381816,0.11916041127685935
139,0.6,0.6,0.7,0.01,0.259,0.6182,0.37,-28.91443710664457,-4.481574226674938,22.056267588477734,0.404,0.905867215211915,0.12217878932230473
140,0.6,0.6,0.75,0.15,0.2598,0.6126,0.3734,-27.09193996788262,-4.21503847719342,22.83927648689085,0.36,0.9108985725533917,0.1328591480983852
141,0.6,0.6,0.75,0.08,0.2592,0.6032,0.3764,-27.802872066020786,-4.019749984082301,22.954851983514416,0.386,0.9084898525678077,0.1336291230832066
142,0.6,0.6,0.75,0.04,0.2606,0.6138,0.3608,-27.995943007524765,-4.415675413862067,22.874402001344112,0.382,0.90926807399656,0.1178236821331992
143,0.6,0.6,0.75,0.02,0.2662,0.6116,0.3612,-28.131621491025832,-4.071051101547253,22.769344761795836,0.376,0.9077260071957547,0.15123626323463096
144,0.6,0.6,0.75,0.01,0.2682,0.6026,0.3666,-27.760431555526193,-4.010724373165275,22.718817814971803,0.396,0.9080721407296682,0.12697553496167344
145,0.6,0.6,0.8,0.15,0.263,0.617,0.3624,-27.990337540754513,-4.291366655566627,22.101858936041616,0.372,0.9083402269767555,0.12779756636906847
146,0.6,0.6,0.8,0.08,0.2702,0.6078,0.354,-27.67551615210584,-4.4413956899113325,22.213199911814982,0.406,0.9078234132842703,0.11653789213070041
147,0.6,0.6,0.8,0.04,0.2542,0.615,0.3712,-27.744297319315596,-4.3795243795321195,22.891942351217853,0.412,0.9079881704938206,0.12323048363276694
148,0.6,0.6,0.8,0.02,0.2546,0.6112,0.3768,-28.02684833271105,-4.2687934323871914,22.822735474092795,0.384,0.9122599263304878,0.13244177868517668
149,0.6,0.6,0.8,0.01,0.2606,0.6086,0.3696,-28.028648138130166,-4.016377110695938,22.111261304580804,0.404,0.9060531101808511,0.11251965580798634
150,0.6,0.65,0.6,0.15,0.2746,0.5988,0.3616,-27.37334561838488,-4.169440193807655,22.673811799114617,0.398,0.9054474067417857,0.1286169520857333
151,0.6,0.65,0.6,0.08,0.2702,0.611,0.3572,-28.134935599296888,-4.422341600776796,22.150228957199403,0.408,0.9094362440332467,0.12379615729490705
152,0.6,0.65,0.6,0.04,0.2644,0.6,0.3576,-27.95056945952616,-3.5911067313296403,22.212749465172795,0.362,0.9032599765832309,0.11855214249963811
153,0.6,0.65,0.6,0.02,0.267,0.6088,0.3652,-28.068395903759622,-4.272002776189154,22.339515796217146,0.38,0.9085975182362946,0.11312503055078706
154,0.6,0.65,0.6,0.01,0.2704,0.5952,0.3642,-27.223707899600683,-3.7037186144360863,22.007861898550516,0.394,0.9043409790977465,0.12172703922998394
155,0.6,0.65,0.65,0.15,0.2644,0.6062,0.361,-28.00740073226854,-4.204862026743498,22.62946403590819,0.394,0.9063304867324842,0.1120267277972483
156,0.6,0.65,0.65,0.08,0.2674,0.6054,0.3654,-27.957401480063243,-4.300491720788571,22.979915598184533,0.366,0.9092883221586195,0.12107693992753943
157,0.6,0.65,0.65,0.04,0.256,0.6188,0.3682,-27.836325451694226,-4.671628815163783,22.97167417706069,0.408,0.9109600077940043,0.10386059049510293
158,0.6,0.65,0.65,0.02,0.2724,0.603,0.3614,-27.912764750682406,-4.421039389110741,22.52949202999282,0.392,0.9061468922985711,0.12650420673615415
159,0.6,0.65,0.65,0.01,0.252,0.6232,0.3752,-28.065389647113665,-4.46534945813444,23.111081214095954,0.414,0.9092374178124992,0.1335724865812689
160,0.6,0.65,0.7,0.15,0.2692,0.5962,0.3694,-28.38335900577413,-3.8626811987850553,22.554094461933406,0.374,0.9068608118820577,0.1249949305658587
161,0.6,0.65,0.7,0.08,0.2708,0.6076,0.3538,-27.709153588598063,-4.234510789221118,22.58131344240323,0.372,0.9084428070285092,0.13441819522420392
162,0.6,0.65,0.7,0.04,0.2678,0.6062,0.356,-28.229702750755827,-4.202263475997605,22.13284512075739,0.384,0.9079334536968353,0.13063036752744306
163,0.6,0.65,0.7,0.02,0.258,0.6136,0.373,-28.323267162481624,-4.431192964975077,21.05356693002879,0.398,0.9005362976241426,0.11639387347459498
164,0.6,0.65,0.7,0.01,0.2596,0.6044,0.371,-27.96179678618027,-4.184689444863395,22.079893124999916,0.386,0.9074483830331945,0.11563764322215227
165,0.6,0.65,0.75,0.15,0.2678,0.6064,0.3732,-27.48155587765127,-4.242982856802619,22.636475189999278,0.426,0.9107375119414336,0.15087718133993142
