TBR,blanket_attenuation,blanket_front_heating_frac,blanket_model,bootstrap,capex_billion,fG,frac_cap,lithium_thickness,lithium_velocity,net_electric,ok,score,wall_load
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,22.673151327004007,0.7,0.65,0.02,1.0,4955.511975752986,True,2098527.9123422364,7.699287381168643
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,22.6723674749224,0.7,0.65,0.02,2.0,4955.2103229125805,True,2098377.275941976,7.699287381168643
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,22.66846199852267,0.7,0.65,0.02,3.5,4953.70744536842,True,2097610.3964126697,7.699287381168643
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,22.659263827124416,0.7,0.65,0.012,5.0,4950.168411151525,True,2097064.0975081634,7.699287381168643
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,22.659263827124416,0.7,0.65,0.002,5.0,4950.168411151525,True,2097064.0895290605,7.699287381168643
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,22.659263827124416,0.7,0.65,0.008,5.0,4950.168411151525,True,2097063.67738054,7.699287381168643
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,22.659263827124416,0.7,0.65,0.004,5.0,4950.168411151525,True,2097061.2243656903,7.699287381168643
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,22.659263827124416,0.7,0.65,0.001,5.0,4950.168411151525,True,2097052.5957932347,7.699287381168643
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,22.659263827124416,0.7,0.65,0.02,5.0,4950.168411151525,True,2095796.3998932107,7.699287381168643
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,22.64906933274396,0.7,0.65,0.002,6.0,4946.2469242262605,True,2095040.0091026528,7.699287381168643
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,22.64906933274396,0.7,0.65,0.001,6.0,4946.2469242262605,True,2095039.7245598321,7.699287381168643
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,22.64906933274396,0.7,0.65,0.012,6.0,4946.2469242262605,True,2095038.9999175088,7.699287381168643
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,22.64906933274396,0.7,0.65,0.004,6.0,4946.2469242262605,True,2095038.2122301196,7.699287381168643
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,22.64906933274396,0.7,0.65,0.008,6.0,4946.2469242262605,True,2095033.2669160946,7.699287381168643
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,22.64906933274396,0.7,0.65,0.02,6.0,4946.2469242262605,True,2093773.5316869912,7.699287381168643
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.889515351139547,0.95,0.5,0.001,0.5,5430.165512473252,True,1700580.3899393908,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.889515351139547,0.95,0.5,0.012,0.5,5430.165512473252,True,1700580.367833356,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.889515351139547,0.95,0.5,0.002,0.5,5430.165512473252,True,1700580.1601882123,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.889515351139547,0.95,0.5,0.004,0.5,5430.165512473252,True,1700578.8062078084,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.889515351139547,0.95,0.5,0.008,0.5,5430.165512473252,True,1700578.4406925836,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.889420022530842,0.95,0.5,0.012,1.0,5430.127805868202,True,1700561.161073606,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.889420022530842,0.95,0.5,0.002,1.0,5430.127805868202,True,1700561.1438701719,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.889420022530842,0.95,0.5,0.008,1.0,5430.127805868202,True,1700560.8440237998,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.889420022530842,0.95,0.5,0.004,1.0,5430.127805868202,True,1700552.5452880438,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.889420022530842,0.95,0.5,0.001,1.0,5430.127805868202,True,1700551.2662915115,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.88865738651189,0.95,0.5,0.008,2.0,5429.826153027797,True,1700407.3084447547,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.88865738651189,0.95,0.5,0.004,2.0,5429.826153027797,True,1700407.2870861415,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.88865738651189,0.95,0.5,0.012,2.0,5429.826153027797,True,1700400.8771133383,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.88865738651189,0.95,0.5,0.001,2.0,5429.826153027797,True,1700400.8732810016,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.88865738651189,0.95,0.5,0.002,2.0,5429.826153027797,True,1700398.7357431701,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.884857635487684,0.95,0.5,0.004,3.5,5428.323275483636,True,1699638.3637020646,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.884857635487684,0.95,0.5,0.002,3.5,5428.323275483636,True,1699638.1997693917,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.884857635487684,0.95,0.5,0.012,3.5,5428.323275483636,True,1699637.6484236596,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.884857635487684,0.95,0.5,0.001,3.5,5428.323275483636,True,1699636.4456265431,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.884857635487684,0.95,0.5,0.008,3.5,5428.323275483636,True,1699634.0833357887,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.889515351139547,0.95,0.5,0.02,0.5,5430.165512473252,True,1698984.6547390567,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.889420022530842,0.95,0.5,0.02,1.0,5430.127805868202,True,1698959.1249440336,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.88865738651189,0.95,0.5,0.02,2.0,5429.826153027797,True,1698811.3593940309,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.884857635487684,0.95,0.5,0.02,3.5,5428.323275483636,True,1698044.9777859568,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.875908587805593,0.95,0.5,0.002,5.0,5424.784241266742,True,1697827.7601551223,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.875908587805593,0.95,0.5,0.001,5.0,5424.784241266742,True,1697827.2942410475,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.875908587805593,0.95,0.5,0.012,5.0,5424.784241266742,True,1697826.7235803476,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.875908587805593,0.95,0.5,0.004,5.0,5424.784241266742,True,1697825.9852583173,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.875908587805593,0.95,0.5,0.008,5.0,5424.784241266742,True,1697819.5713763994,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.875908587805593,0.95,0.5,0.02,5.0,5424.784241266742,True,1696232.01434058,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.865990397783218,0.95,0.5,0.001,6.0,5420.862754341478,True,1695803.6453137987,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.865990397783218,0.95,0.5,0.002,6.0,5420.862754341478,True,1695802.8188394075,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.865990397783218,0.95,0.5,0.012,6.0,5420.862754341478,True,1695801.4399555493,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.865990397783218,0.95,0.5,0.008,6.0,5420.862754341478,True,1695800.9450252408,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.865990397783218,0.95,0.5,0.004,6.0,5420.862754341478,True,1695800.2847164625,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,23.865990397783218,0.95,0.5,0.02,6.0,5420.862754341478,True,1694207.5714988809,8.391023863669483
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,17.07490229118888,0.55,0.65,0.004,0.5,2950.8963819527885,True,1507339.5179907866,4.753131495517379
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,17.07490229118888,0.55,0.65,0.02,0.5,2950.8963819527885,True,1507339.4938048967,4.753131495517379
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,17.07490229118888,0.55,0.65,0.008,0.5,2950.8963819527885,True,1507337.666744342,4.753131495517379
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,17.07490229118888,0.55,0.65,0.001,0.5,2950.8963819527885,True,1507337.2518590977,4.753131495517379
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,17.07490229118888,0.55,0.65,0.002,0.5,2950.8963819527885,True,1507333.5405651587,4.753131495517379
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,17.07490229118888,0.55,0.65,0.012,0.5,2950.8963819527885,True,1507333.009465144,4.753131495517379
1.4000000000000001,0.1497821447359825,0.1197433525738467,openmc_dataset,0.85,17.074787823907887,0.55,0.65,0.012,1.0,2950.858675347738,True,1507320.094291991,4.753131495517379
